uuid,void/retire,name,description,HL7 Code,Unique ID
13ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,AMPATH,AMPATH concept dictionary,,
21ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,CIEL,Columbia International eHealth Laboratory concept ID,,
2889f378-f287-40a5-ac9c-ce77ee963ed7,,LOINC,A universal code system for identifying laboratory and clinical observations.,,
6643a20a-977f-11e1-8993-905e29aff6c1,,Malawi HMIS Outpatient Indicators,Indicators from the Malawi Health Management Information System Outpatient Registry (HMIS 8),,
fb9aaaf1-65e2-4c18-b53c-16b575f2f385,,PIH,Partners In Health concept dictionary using concept ids and preferred English names,,
12ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,PIH Malawi,Partners in Health Malawi concept dictionary,,
1ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,SNOMED CT,SNOMED Preferred mapping,SCT,
2ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,SNOMED NP,Non-preferred SNOMED CT mappings,,
6643a58e-977f-11e1-8993-905e29aff6c1,,SPINE,Surveillance Programme of In-patients and Epidemiology at Queen Elizabeth Central hospital,,
6643a6b0-977f-11e1-8993-905e29aff6c1,,SPINE Coded answers,Answer codes to spine specific concepts,,
edd52713-8887-47b7-ba9e-6e1148824ca4,,org.openmrs.module.emrapi,Source used to tag concepts used in the emr-api module,,
